Call_Date,Call_Time,province,district
18/09/2014,18:04:13,WEST,WESTERN RURAL
18/09/2014,18:16:38,NORTH,PORT LOKO
18/09/2014,18:20:10,NORTH,PORT LOKO
18/09/2014,18:20:11,EAST,KAILAHUN
18/09/2014,18:30:41,WEST,WESTERN URBAN
18/09/2014,18:32:57,EAST,KENEMA
18/09/2014,18:40:34,WEST,WESTERN URBAN
18/09/2014,18:41:27,SOUTH,MOYAMBA
18/09/2014,18:53:03,NORTH,BOMBALI
18/09/2014,18:56:06,EAST,KENEMA
18/09/2014,18:59:31,WEST,WESTERN URBAN
18/09/2014,19:05:20,WEST,WESTERN URBAN
18/09/2014,19:10:47,WEST,WESTERN URBAN
18/09/2014,19:16:36,EAST,KENEMA
18/09/2014,19:23:45,EAST,KONO
18/09/2014,19:31:30,NORTH,PORT LOKO
18/09/2014,19:41:33,WEST,WESTERN URBAN
18/09/2014,19:51:27,WEST,WESTERN URBAN
18/09/2014,20:23:57,WEST,WESTERN URBAN
18/09/2014,20:24:25,WEST,WESTERN URBAN
18/09/2014,20:31:35,EAST,KAILAHUN
18/09/2014,20:32:37,NORTH,BOMBALI
18/09/2014,20:46:16,WEST,WESTERN URBAN
18/09/2014,20:48:38,SOUTH,BONTHE
18/09/2014,20:48:56,WEST,WESTERN URBAN
18/09/2014,21:09:49,SOUTH,MOYAMBA
,,,
  PREPARED  FOR  HEALTH  WORKERS ALL OVER  THE COUNTRY  HAS  BEEN  GIVEN  TO  THEIR  WORKERS AS WELL  FOR  DEFENCIVE  PURPOSE  AGAINST  THE  ARMED FORCES.,ACTION,,
18/09/2014,21:33:53,WEST,WESTERN URBAN
18/09/2014,21:43:10,WEST,WESTERN URBAN
18/09/2014,21:54:03,WEST,WESTERN RURAL
18/09/2014,22:04:14,SOUTH,BO
18/09/2014,22:09:23,WEST,WESTERN RURAL
18/09/2014,22:10:26,NORTH,PORT LOKO
18/09/2014,22:14:05,WEST,WESTERN URBAN
18/09/2014,22:16:38,SOUTH,MOYAMBA
18/09/2014,22:20:28,WEST,WESTERN RURAL
18/09/2014,22:24:06,SOUTH,MOYAMBA
18/09/2014,22:25:38,WEST,WESTERN RURAL
18/09/2014,22:27:28,WEST,WESTERN URBAN
18/09/2014,22:31:46,EAST,KONO
18/09/2014,22:35:13,WEST,WESTERN RURAL
18/09/2014,22:43:48,WEST,WESTERN URBAN
18/09/2014,22:44:32,WEST,WESTERN URBAN
18/09/2014,22:49:20,WEST,WESTERN URBAN
18/09/2014,22:52:16,WEST,WESTERN RURAL
18/09/2014,22:55:38,NORTH,PORT LOKO
19/09/2014,03:27:01,SOUTH,PUJEHUN
19/09/2014,03:34:47,WEST,WESTERN URBAN
19/09/2014,03:54:29,EAST,KAILAHUN
19/09/2014,04:01:00,EAST,KAILAHUN
19/09/2014,04:06:01,WEST,WESTERN URBAN
19/09/2014,04:14:38,NORTH,BOMBALI
19/09/2014,04:17:48,WEST,WESTERN URBAN
19/09/2014,04:19:53,NORTH,BOMBALI
19/09/2014,04:37:47,WEST,WESTERN URBAN
19/09/2014,04:44:22,WEST,WESTERN URBAN
19/09/2014,04:50:03,NORTH,BOMBALI
19/09/2014,05:38:46,WEST,WESTERN URBAN
19/09/2014,05:48:06,NORTH,BOMBALI
19/09/2014,05:49:10,NORTH,KAMBIA
19/09/2014,06:20:12,WEST,WESTERN RURAL
19/09/2014,06:35:37,EAST,KAILAHUN
19/09/2014,06:43:41,EAST,KENEMA
19/09/2014,06:47:13,NORTH,BOMBALI
19/09/2014,06:59:33,EAST,KENEMA
19/09/2014,07:01:58,SOUTH,BO
19/09/2014,07:01:59,WEST,WESTERN URBAN
19/09/2014,07:03:23,EAST,KONO
19/09/2014,07:10:17,NORTH,BOMBALI
19/09/2014,07:11:47,WEST,WESTERN URBAN
19/09/2014,07:13:00,WEST,WESTERN URBAN
19/09/2014,07:13:18,EAST,KENEMA
19/09/2014,07:13:23,EAST,KENEMA
19/09/2014,07:14:02,WEST,WESTERN RURAL
19/09/2014,07:19:34,SOUTH,MOYAMBA
19/09/2014,07:19:57,EAST,KENEMA
19/09/2014,07:21:40,EAST,KENEMA
19/09/2014,07:22:30,EAST,KENEMA
19/09/2014,07:24:53,EAST,KENEMA
19/09/2014,07:25:41,WEST,WESTERN URBAN
19/09/2014,07:26:33,WEST,WESTERN URBAN
19/09/2014,07:29:24,SOUTH,BO
19/09/2014,07:31:15,EAST,KENEMA
19/09/2014,07:36:07,WEST,WESTERN URBAN
19/09/2014,07:36:34,WEST,WESTERN URBAN
19/09/2014,07:41:27,WEST,WESTERN URBAN
19/09/2014,07:44:33,WEST,WESTERN URBAN
19/09/2014,07:45:41,NORTH,BOMBALI
19/09/2014,07:46:43,EAST,KENEMA
19/09/2014,07:46:50,SOUTH,BO
19/09/2014,07:48:07,WEST,WESTERN RURAL
19/09/2014,07:49:33,WEST,WESTERN URBAN
"he needs medical attention, so the caller called to alert the medical team.",NULL,,
19/09/2014,07:50:37,WEST,WESTERN RURAL
19/09/2014,07:53:46,WEST,WESTERN RURAL
19/09/2014,07:55:13,WEST,WESTERN URBAN
19/09/2014,08:06:40,WEST,WESTERN RURAL
19/09/2014,08:14:43,EAST,KENEMA
19/09/2014,08:23:51,WEST,WESTERN URBAN
19/09/2014,08:24:11,NORTH,TONKOLILI
19/09/2014,08:25:21,WEST,WESTERN URBAN
19/09/2014,08:28:35,NORTH,PORT LOKO
19/09/2014,08:28:54,WEST,WESTERN URBAN
19/09/2014,08:30:52,EAST,KAILAHUN
19/09/2014,08:31:27,EAST,KENEMA
19/09/2014,08:32:06,NORTH,BOMBALI
19/09/2014,08:33:08,SOUTH,BO
19/09/2014,08:34:09,EAST,KENEMA
19/09/2014,08:36:41,WEST,WESTERN RURAL
19/09/2014,08:36:45,WEST,WESTERN URBAN
19/09/2014,08:38:21,NORTH,PORT LOKO
19/09/2014,08:39:01,SOUTH,BO
19/09/2014,08:39:56,WEST,WESTERN URBAN
19/09/2014,08:49:46,WEST,WESTERN URBAN
19/09/2014,08:49:53,NORTH,BOMBALI
19/09/2014,08:49:57,WEST,WESTERN URBAN
19/09/2014,08:50:31,WEST,WESTERN URBAN
19/09/2014,08:52:44,WEST,WESTERN URBAN
19/09/2014,08:53:04,NORTH,PORT LOKO
19/09/2014,08:53:24,WEST,WESTERN URBAN
19/09/2014,08:54:15,WEST,WESTERN URBAN
19/09/2014,08:54:19,NORTH,BOMBALI
19/09/2014,08:54:46,WEST,WESTERN RURAL
19/09/2014,08:55:05,WEST,WESTERN RURAL
19/09/2014,08:55:11,WEST,WESTERN URBAN
19/09/2014,08:56:36,WEST,WESTERN URBAN
19/09/2014,08:56:45,NORTH,KOINADUGU
Signs and sympthoms,FOLLOW UP COMPLETE,,
19/09/2014,08:57:58,EAST,KENEMA
19/09/2014,08:58:37,NORTH,BOMBALI
19/09/2014,08:58:42,NORTH,PORT LOKO
19/09/2014,08:59:00,NORTH,KOINADUGU
19/09/2014,08:59:16,WEST,WESTERN RURAL
19/09/2014,09:00:19,WEST,WESTERN RURAL
19/09/2014,09:00:25,WEST,WESTERN RURAL
19/09/2014,09:00:55,NORTH,KAMBIA
19/09/2014,09:01:24,NORTH,PORT LOKO
19/09/2014,09:02:49,WEST,WESTERN RURAL
19/09/2014,09:04:06,EAST,KENEMA
19/09/2014,09:04:22,WEST,WESTERN RURAL
19/09/2014,09:04:29,WEST,WESTERN URBAN
19/09/2014,09:05:08,SOUTH,MOYAMBA
19/09/2014,09:07:13,EAST,KENEMA
19/09/2014,09:07:50,EAST,KENEMA
19/09/2014,09:07:55,WEST,WESTERN URBAN
19/09/2014,09:09:24,WEST,WESTERN URBAN
19/09/2014,09:09:30,WEST,WESTERN URBAN
19/09/2014,09:10:43,NORTH,BOMBALI
19/09/2014,09:11:05,WEST,WESTERN RURAL
19/09/2014,09:11:41,EAST,KENEMA
19/09/2014,09:11:44,NORTH,PORT LOKO
19/09/2014,09:12:00,WEST,WESTERN URBAN
19/09/2014,09:14:29,WEST,WESTERN RURAL
19/09/2014,09:15:32,NORTH,TONKOLILI
19/09/2014,09:15:44,WEST,WESTERN URBAN
19/09/2014,09:16:44,NORTH,BOMBALI
19/09/2014,09:16:53,EAST,KENEMA
19/09/2014,09:20:22,WEST,WESTERN URBAN
19/09/2014,09:21:20,SOUTH,PUJEHUN
19/09/2014,09:21:59,EAST,KAILAHUN
19/09/2014,09:22:34,WEST,WESTERN RURAL
19/09/2014,09:23:25,NORTH,PORT LOKO
19/09/2014,09:25:59,SOUTH,MOYAMBA
19/09/2014,09:27:25,WEST,WESTERN URBAN
19/09/2014,09:28:05,WEST,WESTERN URBAN
19/09/2014,09:28:09,NORTH,BOMBALI
19/09/2014,09:28:41,NORTH,BOMBALI
19/09/2014,09:29:35,WEST,WESTERN URBAN
19/09/2014,09:30:55,EAST,KENEMA
19/09/2014,09:31:56,WEST,WESTERN URBAN
19/09/2014,09:32:14,WEST,WESTERN URBAN
19/09/2014,09:32:18,WEST,WESTERN RURAL
19/09/2014,09:32:41,WEST,WESTERN RURAL
19/09/2014,09:33:25,WEST,WESTERN URBAN
19/09/2014,09:34:25,WEST,WESTERN URBAN
19/09/2014,09:35:37,WEST,WESTERN URBAN
19/09/2014,09:36:00,WEST,WESTERN URBAN
19/09/2014,09:36:11,WEST,WESTERN RURAL
19/09/2014,09:37:28,EAST,KENEMA
19/09/2014,09:37:46,WEST,WESTERN URBAN
19/09/2014,09:38:12,WEST,WESTERN URBAN
19/09/2014,09:40:29,NORTH,PORT LOKO
19/09/2014,09:41:14,WEST,WESTERN URBAN
19/09/2014,09:41:55,WEST,WESTERN RURAL
19/09/2014,09:42:36,WEST,WESTERN RURAL
19/09/2014,09:42:40,NORTH,BOMBALI
19/09/2014,09:44:22,WEST,WESTERN URBAN
19/09/2014,09:44:36,WEST,WESTERN URBAN
19/09/2014,09:45:07,WEST,WESTERN URBAN
19/09/2014,09:45:07,WEST,WESTERN URBAN
19/09/2014,09:45:24,WEST,WESTERN URBAN
19/09/2014,09:45:58,WEST,WESTERN RURAL
